City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
372,Lakes Entrance,AU,-37.8811,147.981,46.99,90,8,3.24,clear sky
373,Puerto Colombia,CO,10.9878,-74.9547,86.09,68,84,9.91,broken clouds
374,Piacabucu,BR,-10.4056,-36.4344,82.56,60,5,13.27,clear sky
375,Ruza,RU,55.699,36.1952,51.89,45,27,7.74,scattered clouds
376,Kemijarvi,FI,66.7131,27.4306,55.38,52,83,4.65,broken clouds
377,Brusyliv,UA,50.2845,29.5263,58.24,63,100,5.1,overcast clouds
378,Deputatskiy,RU,69.3,139.9,21.34,93,40,3.94,scattered clouds
379,Ponta Delgada,PT,37.7333,-25.6667,67.5,82,75,12.66,broken clouds
380,Magdagachi,RU,53.45,125.8,39.15,95,41,5.66,scattered clouds
381,Thunder Bay,CA,48.4001,-89.3168,58.98,47,40,8.05,scattered clouds
382,Ahuimanu,US,21.4447,-157.8378,74.91,76,75,10.36,broken clouds
383,Belyy Yar,RU,53.6039,91.3903,57.85,87,40,2.24,light intensity shower rain
384,Wilmington,US,34.2257,-77.9447,86.9,62,0,9.22,clear sky
385,Narasapur,IN,16.45,81.6667,91.8,54,87,13.65,overcast clouds
386,Cuamba,MZ,-14.8031,36.5372,73.56,59,19,3.78,few clouds
387,Bankura,IN,23.25,87.0667,80.69,60,49,11.01,scattered clouds
388,Amapa,BR,1.0,-52.0,79.41,82,43,4.61,scattered clouds
389,Flinders,AU,-34.5833,150.8552,57.18,92,100,4.0,light rain
390,Progreso,MX,21.2833,-89.6667,88.11,52,14,7.99,few clouds
391,Buchanan,LR,5.8808,-10.0467,81.0,77,100,8.43,light rain
392,Muravlenko,RU,63.7898,74.523,49.39,67,68,10.25,broken clouds
393,Ulladulla,AU,-35.35,150.4667,56.73,78,83,4.23,broken clouds
394,Floro,NO,61.5996,5.0328,55.24,93,75,20.71,light intensity drizzle rain
395,Ayan,RU,56.45,138.1667,33.94,92,100,6.85,overcast clouds
396,Lorengau,PG,-2.0226,147.2712,82.8,73,100,10.78,overcast clouds
397,Isabela,PH,6.7085,121.9711,80.65,85,67,2.55,broken clouds
398,Necochea,AR,-38.5473,-58.7368,58.48,52,100,9.06,overcast clouds
399,Mehamn,NO,71.0357,27.8492,46.31,70,0,10.36,clear sky
400,Luebo,CD,-5.35,21.4167,79.23,70,100,1.36,overcast clouds
401,Xining,CN,36.6167,101.7667,58.46,54,66,0.85,broken clouds
402,Sheltozero,RU,61.3667,35.3667,41.11,58,100,16.02,overcast clouds
403,Misratah,LY,32.3754,15.0925,77.74,44,0,13.78,clear sky
404,Japura,ID,-0.3167,102.35,77.4,91,72,1.79,broken clouds
405,Sisimiut,GL,66.9395,-53.6735,31.66,90,100,22.59,light snow
406,Fuyu,CN,45.1833,124.8167,68.36,45,68,13.2,broken clouds
407,Walvis Bay,NA,-22.9575,14.5053,79.75,18,0,10.36,clear sky
408,Makakilo City,US,21.3469,-158.0858,73.72,73,0,9.22,clear sky
409,Giyani,ZA,-23.3025,30.7187,64.53,61,36,5.28,scattered clouds
410,Kijang,KR,35.2442,129.2139,66.04,76,100,5.06,overcast clouds
411,Port Blair,IN,11.6667,92.75,84.24,84,75,12.66,thunderstorm
412,Kalaleh,IR,37.3807,55.4916,85.6,42,0,0.0,clear sky
413,Assare,BR,-6.8744,-39.875,89.65,32,10,8.61,clear sky
414,Elk City,US,35.412,-99.4043,52.02,93,100,0.0,overcast clouds
415,Rondonopolis,BR,-16.4708,-54.6356,89.01,26,25,3.11,scattered clouds
416,Tevaitoa,PF,-16.7833,-151.5,80.69,72,6,14.58,clear sky
417,Oranjemund,NA,-28.55,16.4333,64.17,56,66,6.73,broken clouds
418,Mandera,KE,3.9366,41.867,90.77,37,93,14.09,overcast clouds
419,Kirakira,SB,-10.4544,161.9205,79.03,85,35,5.57,scattered clouds
420,Maralal,KE,1.0968,36.698,67.19,62,75,8.3,light rain
421,Naryan-Mar,RU,67.6713,53.087,32.49,92,100,19.22,overcast clouds
422,Shu,KZ,43.5983,73.7614,56.7,53,97,9.13,overcast clouds
423,Ancud,CL,-41.8697,-73.8203,49.21,78,91,17.38,light rain
424,Ambovombe,MG,-25.1667,46.0833,71.24,81,0,6.44,clear sky
425,Atar,MR,20.5169,-13.0499,107.92,9,6,15.08,clear sky
426,Alice Springs,AU,-23.7,133.8833,54.95,62,60,0.0,broken clouds
427,Yanji,CN,42.9075,129.5078,53.96,96,100,0.92,overcast clouds
428,Namatanai,PG,-3.6667,152.4333,79.34,82,40,7.05,scattered clouds
429,Boda,CF,4.3189,17.4695,75.94,87,100,4.7,light rain
430,Mitu,CO,1.1983,-70.1733,87.12,53,19,3.8,few clouds
431,Lokosovo,RU,61.1333,74.8167,49.78,72,84,7.38,broken clouds
432,Margate,GB,51.3813,1.3862,58.3,88,100,1.01,overcast clouds
433,Sosnovo-Ozerskoye,RU,52.5249,111.5418,43.36,68,96,4.72,overcast clouds
434,Zhigansk,RU,66.7697,123.3711,42.94,79,100,5.79,overcast clouds
435,Deulgaon Raja,IN,20.0167,76.0333,90.05,35,1,20.2,clear sky
436,Igarka,RU,67.4667,86.5833,41.47,96,100,9.4,overcast clouds
437,Komsomolskiy,UZ,40.4272,71.7189,61.52,55,68,4.61,broken clouds
438,Tupiza,BO,-21.45,-65.7167,59.34,8,0,1.99,clear sky
439,Lazaro Cardenas,MX,17.9583,-102.2,81.77,65,89,1.41,overcast clouds
440,Kapit,MY,2.0167,112.9333,76.03,93,99,0.58,overcast clouds
441,Baruun-Urt,MN,46.6806,113.2792,58.48,53,100,10.51,overcast clouds
442,Honningsvag,NO,70.9821,25.9704,49.75,62,0,11.5,clear sky
443,Camocim,BR,-2.9022,-40.8411,80.22,84,78,5.64,broken clouds
444,Carepa,CO,7.7585,-76.6525,84.81,69,99,5.64,overcast clouds
445,Nanzhou,CN,29.3596,112.4024,66.74,91,70,6.46,broken clouds
446,Nazca,PE,-14.8333,-74.95,73.47,48,22,5.19,few clouds
447,Bennington,US,42.8781,-73.1968,65.01,64,0,10.36,clear sky
448,Ca Mau,VN,9.1769,105.15,78.67,86,100,2.95,overcast clouds
449,Ayagoz,KZ,47.9714,80.4392,56.97,36,91,14.41,overcast clouds
450,Harnosand,SE,62.6323,17.9379,64.42,61,41,11.25,scattered clouds
451,Monte Santo,BR,-10.4378,-39.3328,77.61,58,98,9.15,overcast clouds
452,Aswan,EG,24.0934,32.907,94.3,10,0,9.22,clear sky
453,Frederico Westphalen,BR,-27.3592,-53.3944,65.44,62,0,5.12,clear sky
454,Taoudenni,ML,22.6783,-3.9836,106.93,6,0,15.7,clear sky
455,Kuchera,IN,26.9839,73.9719,94.86,31,0,20.67,clear sky
456,Manta,EC,-0.95,-80.7333,76.78,83,75,11.5,broken clouds
457,Maniitsoq,GL,65.4167,-52.9,29.91,96,100,18.05,snow
458,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,46,0,18.41,clear sky
459,Jijiga,ET,9.35,42.8,77.92,21,80,6.96,broken clouds
460,Pristina,XK,42.6727,21.1669,71.24,61,75,3.44,broken clouds
461,Kaspiyskiy,RU,45.3929,47.3707,69.82,51,92,7.81,overcast clouds
462,Nome,US,64.5011,-165.4064,42.87,75,0,0.0,clear sky
463,Marawi,PH,7.9986,124.2928,69.89,93,94,3.18,overcast clouds
464,Umm Kaddadah,SD,13.6017,26.6876,93.81,9,36,13.2,scattered clouds
465,Dvinskoy,RU,62.1535,45.1175,37.15,93,100,6.91,light rain
466,Cayenne,GF,4.9333,-52.3333,86.04,66,75,3.44,broken clouds
467,Elk Plain,US,47.0532,-122.3976,55.26,84,100,5.75,overcast clouds
468,Atherton,GB,53.5237,-2.4935,59.29,72,100,1.99,overcast clouds
469,Ajra,IN,16.1167,74.2,74.84,89,56,7.85,broken clouds
470,Nicoya,CR,10.1483,-85.452,86.99,63,39,3.74,scattered clouds
471,Sioux Lookout,CA,50.1001,-91.917,55.47,44,20,6.91,few clouds
472,Nepa Nagar,IN,21.4667,76.4,93.43,36,1,15.46,clear sky
473,Benton Harbor,US,42.1167,-86.4542,61.84,55,0,10.36,clear sky
474,Zaidpur,IN,26.8333,81.3333,75.27,38,81,9.89,broken clouds
475,Mahibadhoo,MV,3.7833,72.9667,83.32,76,77,13.62,broken clouds
476,Leshukonskoye,RU,64.8989,45.7622,32.7,96,100,8.57,light snow
477,Ngunguru,NZ,-35.6167,174.5,53.47,73,33,5.46,scattered clouds
478,Tabou,CI,4.423,-7.3528,80.37,80,75,9.4,light rain
479,Tete,MZ,-16.1564,33.5867,86.09,51,20,4.61,few clouds
480,Karratha,AU,-20.7377,116.8463,73.49,81,98,3.24,overcast clouds
