City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
411,Port Blair,IN,84.24,thunderstorm,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
412,Kalaleh,IR,85.6,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
413,Assare,BR,89.65,clear sky,-6.8744,-39.875,José Xavier de Andrade
415,Rondonopolis,BR,89.01,scattered clouds,-16.4708,-54.6356,Serras Hotel
416,Tevaitoa,PF,80.69,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
419,Kirakira,SB,79.03,scattered clouds,-10.4544,161.9205,SanBiz Lodge
424,Ambovombe,MG,71.24,clear sky,-25.1667,46.0833,RELAHARA
428,Namatanai,PG,79.34,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
439,Lazaro Cardenas,MX,81.77,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
440,Kapit,MY,76.03,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
443,Camocim,BR,80.22,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
444,Carepa,CO,84.81,overcast clouds,7.7585,-76.6525,HOTEL EL EDÉN
446,Nazca,PE,73.47,few clouds,-14.8333,-74.95,Casa Andina Standard Nasca
448,Ca Mau,VN,78.67,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
451,Monte Santo,BR,77.61,overcast clouds,-10.4378,-39.3328,Pousada Pingo D'Água
456,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
459,Jijiga,ET,77.92,broken clouds,9.35,42.8,RAMAAS HOTEL
460,Pristina,XK,71.24,broken clouds,42.6727,21.1669,Hotel Real
466,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
469,Ajra,IN,74.84,broken clouds,16.1167,74.2,Hotel Minerva Paradise
470,Nicoya,CR,86.99,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
474,Zaidpur,IN,75.27,broken clouds,26.8333,81.3333,Huzaifa tayyab home's
475,Mahibadhoo,MV,83.32,broken clouds,3.7833,72.9667,Omadhoo Inn
478,Tabou,CI,80.37,light rain,4.423,-7.3528,hotêl doufoulougou
479,Tete,MZ,86.09,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
480,Karratha,AU,73.49,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
483,Hirara,JP,78.51,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
485,Meulaboh,ID,79.25,overcast clouds,4.1363,96.1285,Kost Pria
486,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
487,Hohoe,GH,81.57,moderate rain,7.1518,0.4736,Agumatsa Falls Lodge
489,Hasilpur,PK,79.02,clear sky,29.7122,72.5553,"Masjid Noor, Tahir Colony, Purana Hasilpur"
490,Puerto Baquerizo Moreno,EC,74.39,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
493,Ko Samui,TH,85.37,overcast clouds,9.5357,99.9357,The Passage
495,Maumere,ID,79.74,clear sky,-8.6199,122.2111,Sylvia Hotel
496,Paulo Ramos,BR,84.38,few clouds,-4.2167,-45.1833,Hotel milena
497,Mucuri,BR,76.73,scattered clouds,-18.0864,-39.5508,La Bodeguita Pousada
498,Imbituba,BR,72.09,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
504,Pachmarhi,IN,83.8,few clouds,22.4667,78.4333,TBT Budget Stays
